2026-08-22 07:31:08.070 -04:00 [INF] dev env
2026-08-22 07:31:13.451 -04:00 [INF] Starting role seeding...
2026-08-22 07:31:13.503 -04:00 [INF] Role Admin already exists
2026-08-22 07:31:13.510 -04:00 [INF] Role Moderator already exists
2026-08-22 07:31:13.512 -04:00 [INF] Role seeding completed.
2026-08-22 07:31:13.515 -04:00 [INF] Checking for admin user: admin@frenzyzone.com
2026-08-22 07:31:13.787 -04:00 [INF] Admin user already exists: admin@frenzyzone.com
2026-08-22 07:31:13.872 -04:00 [INF] Test users already exist. Skipping test user seeding.
2026-08-22 07:31:13.880 -04:00 [INF] Likes and messages already exist. Skipping.
2026-08-22 07:31:13.935 -04:00 [INF] Subscription Status Updater Service is starting.
2026-08-22 07:31:14.071 -04:00 [WRN] Overriding address(es) 'http://localhost:9001'. Binding to endpoints defined via IConfiguration and/or UseKestrel() instead.
2026-08-22 07:31:14.536 -04:00 [WRN] Failed to determine the https port for redirect.
2026-08-22 07:31:15.100 -04:00 [WRN] Compiling a query which loads related collections for more than one collection navigation, either via 'Include' or through projection, but no 'QuerySplittingBehavior' has been configured. By default, Entity Framework will use 'QuerySplittingBehavior.SingleQuery', which can potentially result in slow query performance. See https://go.microsoft.com/fwlink/?linkid=2134277 for more information. To identify the query that's triggering this warning call 'ConfigureWarnings(w => w.Throw(RelationalEventId.MultipleCollectionIncludeWarning))'.
2026-08-22 07:31:16.217 -04:00 [INF] HTTP GET /MvcApp.Web.styles.css responded 304 in 16.5655 ms
2026-08-22 07:31:16.217 -04:00 [INF] HTTP GET /css/layout-override.css responded 304 in 15.8551 ms
2026-08-22 07:31:16.226 -04:00 [INF] HTTP GET /lib/bootstrap-icons/css/bootstrap-icons.min.css responded 404 in 31.6432 ms
2026-08-22 07:31:16.228 -04:00 [INF] HTTP GET /images/user.svg responded 404 in 8.1934 ms
2026-08-22 07:31:16.235 -04:00 [INF] HTTP GET /_content/MvcApp.Module.Forum/MvcApp.Module.Forum.zscjpwphtj.bundle.scp.css responded 304 in 0.4192 ms
2026-08-22 07:31:16.236 -04:00 [INF] HTTP GET /_content/MvcApp.Module.Chat/MvcApp.Module.Chat.fwed7x91nk.bundle.scp.css responded 304 in 0.2420 ms
2026-08-22 07:31:16.248 -04:00 [INF] HTTP GET / responded 200 in 1722.2593 ms
2026-08-22 07:31:16.269 -04:00 [INF] HTTP GET /_framework/blazor.server.js responded 404 in 16.9282 ms
2026-08-22 07:31:16.289 -04:00 [INF] HTTP GET /images/user.svg responded 404 in 42.6175 ms
2026-08-22 07:31:22.562 -04:00 [INF] HTTP POST /ads/impression/6 responded 200 in 169.3363 ms
