2026-08-16 14:13:01.783 -04:00 [INF] dev env
2026-08-16 14:13:10.502 -04:00 [INF] Starting role seeding...
2026-08-16 14:13:10.572 -04:00 [INF] Role Admin already exists
2026-08-16 14:13:10.583 -04:00 [INF] Role Moderator already exists
2026-08-16 14:13:10.586 -04:00 [INF] Role seeding completed.
2026-08-16 14:13:10.591 -04:00 [INF] Checking for admin user: admin@frenzyzone.com
2026-08-16 14:13:11.102 -04:00 [INF] Admin user already exists: admin@frenzyzone.com
2026-08-16 14:13:11.251 -04:00 [INF] Test users already exist. Skipping test user seeding.
2026-08-16 14:13:11.272 -04:00 [INF] Likes and messages already exist. Skipping.
2026-08-16 14:13:11.436 -04:00 [INF] Subscription Status Updater Service is starting.
2026-08-16 14:13:12.555 -04:00 [WRN] Overriding address(es) 'http://localhost:9001'. Binding to endpoints defined via IConfiguration and/or UseKestrel() instead.
2026-08-16 14:13:13.877 -04:00 [WRN] Failed to determine the https port for redirect.
2026-08-16 14:13:16.611 -04:00 [INF] HTTP GET /css/styles2.min.css responded 304 in 8.8960 ms
2026-08-16 14:13:16.611 -04:00 [INF] HTTP GET /lib/font-awesome/css/font-awesome.min.css responded 304 in 21.9708 ms
2026-08-16 14:13:16.614 -04:00 [INF] HTTP GET /css/site.css responded 304 in 15.0313 ms
2026-08-16 14:13:16.614 -04:00 [INF] HTTP GET /MvcApp.Web.styles.css responded 304 in 14.7904 ms
2026-08-16 14:13:16.627 -04:00 [INF] HTTP GET /css/templates/dating.css responded 304 in 0.3572 ms
2026-08-16 14:13:16.627 -04:00 [INF] HTTP GET /css/layout-override.css responded 304 in 0.4155 ms
2026-08-16 14:13:16.632 -04:00 [INF] HTTP GET /lib/bootstrap-icons/css/bootstrap-icons.min.css responded 404 in 46.6447 ms
2026-08-16 14:13:16.636 -04:00 [INF] HTTP GET /_content/MvcApp.Module.Chat/MvcApp.Module.Chat.fwed7x91nk.bundle.scp.css responded 304 in 0.2682 ms
2026-08-16 14:13:16.636 -04:00 [INF] HTTP GET /_content/MvcApp.Module.Forum/MvcApp.Module.Forum.zscjpwphtj.bundle.scp.css responded 304 in 0.2368 ms
2026-08-16 14:13:16.663 -04:00 [INF] HTTP GET / responded 200 in 2802.8872 ms
2026-08-16 14:13:16.808 -04:00 [INF] HTTP GET /lib/jquery/jquery.min.js responded 304 in 0.7335 ms
2026-08-16 14:13:16.810 -04:00 [INF] HTTP GET /_content/MvcApp.Module.Ads/js/ads-rotate.js responded 304 in 0.4477 ms
2026-08-16 14:13:16.812 -04:00 [INF] HTTP GET /js/site.js responded 304 in 0.3248 ms
2026-08-16 14:13:16.830 -04:00 [INF] HTTP GET /lib/font-awesome/fonts/fontawesome-webfont.woff2 responded 304 in 0.8188 ms
2026-08-16 14:13:16.840 -04:00 [INF] HTTP GET /_framework/blazor.server.js responded 404 in 27.9351 ms
2026-08-16 14:13:16.937 -04:00 [INF] AuthenticationScheme: Identity.Application was challenged.
2026-08-16 14:13:16.940 -04:00 [INF] HTTP POST /notificationhub/negotiate responded 401 in 34.1579 ms
2026-08-16 14:13:21.077 -04:00 [INF] AuthenticationScheme: Identity.External signed out.
2026-08-16 14:13:21.573 -04:00 [INF] HTTP GET /Account/Login responded 200 in 665.1454 ms
2026-08-16 14:13:21.594 -04:00 [INF] HTTP GET /lib/jquery-validation-unobtrusive/jquery.validate.unobtrusive.min.js responded 304 in 0.4559 ms
2026-08-16 14:13:21.595 -04:00 [INF] HTTP GET /lib/jquery-validation/jquery.validate.min.js responded 304 in 0.2395 ms
2026-08-16 14:13:21.599 -04:00 [INF] HTTP GET /lib/bootstrap-icons/css/bootstrap-icons.min.css responded 404 in 6.7346 ms
2026-08-16 14:13:21.602 -04:00 [INF] HTTP GET /_framework/blazor.server.js responded 404 in 9.3301 ms
2026-08-16 14:13:21.658 -04:00 [INF] AuthenticationScheme: Identity.Application was challenged.
2026-08-16 14:13:21.660 -04:00 [INF] HTTP POST /notificationhub/negotiate responded 401 in 5.0148 ms
2026-08-16 14:13:21.665 -04:00 [INF] HTTP GET /images/ads/content-bottom/fattvset-970x250.png responded 304 in 0.6050 ms
2026-08-16 14:13:24.246 -04:00 [INF] AuthenticationScheme: Identity.Application signed in.
2026-08-16 14:13:24.251 -04:00 [INF] User admin logged in.
2026-08-16 14:13:24.264 -04:00 [INF] HTTP POST /Account/Login responded 302 in 580.2383 ms
2026-08-16 14:13:24.671 -04:00 [INF] HTTP GET / responded 200 in 394.2035 ms
2026-08-16 14:13:24.693 -04:00 [INF] HTTP GET /lib/bootstrap-icons/css/bootstrap-icons.min.css responded 404 in 6.2877 ms
2026-08-16 14:13:24.712 -04:00 [INF] HTTP GET /_framework/blazor.server.js responded 404 in 23.3675 ms
2026-08-16 14:13:24.774 -04:00 [INF] HTTP POST /notificationhub/negotiate responded 200 in 26.9576 ms
2026-08-16 14:13:24.826 -04:00 [INF] HTTP GET /Account/GetProfilePicture responded 200 in 138.6288 ms
2026-08-16 14:13:30.460 -04:00 [INF] HTTP GET /Admin responded 200 in 467.7933 ms
2026-08-16 14:13:30.460 -04:00 [INF] HTTP GET /Admin responded 200 in 437.3065 ms
2026-08-16 14:13:30.478 -04:00 [INF] HTTP GET /css/admin.css responded 304 in 0.5153 ms
2026-08-16 14:13:30.495 -04:00 [INF] HTTP GET /notificationhub responded 101 in 5707.4114 ms
2026-08-16 14:13:30.593 -04:00 [INF] HTTP GET /Account/GetProfilePicture responded 200 in 116.0699 ms
2026-08-16 14:13:36.711 -04:00 [INF] HTTP GET /Admin/TemplateNav responded 200 in 185.3893 ms
2026-08-16 14:13:36.764 -04:00 [INF] HTTP GET /Account/GetProfilePicture responded 200 in 31.8732 ms
2026-08-16 14:13:53.139 -04:00 [INF] HTTP GET /Admin/Bans responded 200 in 180.9980 ms
2026-08-16 14:13:53.183 -04:00 [INF] HTTP GET /Account/GetProfilePicture responded 200 in 28.0441 ms
2026-08-16 14:13:58.416 -04:00 [INF] HTTP GET /Admin/Role responded 200 in 63.8398 ms
